Digito,precision,recall,f1-score,support
0,1.0,0.9722222222222222,0.9859154929577465,36.0
1,0.8888888888888888,0.8888888888888888,0.8888888888888888,36.0
2,0.9722222222222222,1.0,0.9859154929577465,35.0
3,0.9487179487179487,1.0,0.9736842105263158,37.0
4,0.9473684210526315,1.0,0.972972972972973,36.0
5,0.972972972972973,0.972972972972973,0.972972972972973,37.0
6,1.0,0.9722222222222222,0.9859154929577465,36.0
7,1.0,0.9722222222222222,0.9859154929577465,36.0
8,0.8571428571428571,0.8571428571428571,0.8571428571428571,35.0
9,1.0,0.9444444444444444,0.9714285714285714,36.0
